question,answer
France: The Beautiful Cookbook- Authentic Recipes from the Regions of France,"Though at first glance too luscious for the pots, pans and grease stains of the kitchen, this opulently illustrated oversize volume--travel book as much as recipe collection--can function there admirably, seducing the hungry and the restless. The latest in the publisher's series of regional cookbooks (others on Italy, China and Asia have preceded it), it will keep readers turning pages even if they never pick up a saucepan. Chapters alternate between discussing the different regions of France and offering a good selection of traditional recipes. French-born authors and cooks Marianne Comolli, Elisabeth Scotto and Michele Carles reflect on the history and geography of France with appetizers from Provence, entrees from Lyonnais and desserts from Anjou. This is hearty, not haute , cuisine: well-organized recipes are scaled for the average cook, who won't have to go in search of rare ingredients or spend hours chopping and mincing. Les soeurs Scotto make use of blenders and food processors when needed.Copyright 1989 Reed Business Information, Inc."
Mexico The Beautiful Cookbook: Authentic Recipes from the Regions of Mexico,"The latest addition to this popular series is a colorful guide to Mexico's diverse regional cuisine. Palazuelos is an experienced chef/caterer, and her recipes are inviting, her headnotes informative; Ignacio Urquiza's photographs of the food are eyecatching but uncontrived. There are many unusual dishes here, both traditional and contemporary, and most are far more sophisticated than the Tex-Mex fare many Americans identify as Mexican food. A good companion to Patricia Quintana's The Taste of Mexico ( LJ 12/86); recommended for most collections.Copyright 1991 Reed Business Information, Inc."
A Day in the Life of China,"Ninety photographers (60 Western, 30 Chinese) fanned out across China on a single day--April 15, 1989--to take the pictures that make up this rare, candid glimpse of the world's most populous nation. The photos show us villages and farms and take us into homes, schools and factories. From a kaleidoscope of images--rice-planting brigades, a defendant in the dock on trial for murder, yaks on Main Street in one city--we get a feel for the contradictions and pressures of a modernizing society. Many of the photos are exceptionally beautiful; taken together, they reveal the diversity of this vast country, moving from the tent-like yurts of Mongolian nomads to a Tantric Buddhist monastery in occupied Tibet. The photo-essay concludes with a glimpse of protest posters that went up at Beijing University as students began to occupy Tiananmen Square, a tragically ironic conclusion in light of events that followed. First serial to Time; author tour.Copyright 1989 Reed Business Information, Inc."
America: The Beautiful Cookbook,"Fifth in the series that includes the best-selling Italy the Beautiful (Knapp, 1988) and France the Beautiful ( LJ 10/15/89), this big picture book features traditional recipes from around the country, very brief introductions to the various regions, and lots of color photographs. Recipes--grouped by courses of a meal rather than region--give little sense of regional identity; most are familiar and available elsewhere; the blown-up food photographs are more interesting than the postcard views of the country. Buy for demand. Better Homes & Gardens Book Club selection.Copyright 1990 Reed Business Information, Inc."
Paris on the Eve 1900-1914,"In pre-WW I Paris, Picasso, Debussy, Gide, Proust, Henri Bergson and Pierre and Marie Curie were among the creative minds who helped forge the modern world view of a subjective, fluid reality. Cronin's achievement in this scintillating, highly enjoyable social and cultural history is to demonstrate how the various endeavors of these and other groundbreakers were interrelated. France's adaptation to unless France really developed it.aa the motor car changed Proust's way of life. A new subjectivism, spurred by Bergson's spiritual philosophy, made possible Debussy's exploration of musical nuance, Picasso and Braque's invention of Cubism, and poet Charles Peguy's vision of a socialist utopia. Mingling gossip, biography and astute commentary, this chronicle tracks Diaghilev, Colette, Mattise and a host of others. Cronin, biographer of Napoleon, argues persuasively that Parisians' chilly rancor toward Germans stemmed in part from France's sense of national pride. Do you mean: 'French national pride derived from winning the Franco-German rivalry over imperialist expansion in Africa.'?aa Photos.Copyright 1991 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
"California, The Beautiful Cookbook: Authentic Recipes from California","Two collections of California's best. The latest addition to Collins's popular series ( America the Beautiful Cookbook, LJ 11/15/90; France the Beautiful Cookbook, LJ 10/15/89; et al.) is a locally specialized but stunning entry. The photographs of the California scenery/scene are varied and vivid, while the food photography is quite spectacular, and the recipes are far better and more interesting than those in several of the previous books. Recommended for most California libraries, and for any others that can afford this luxury. Like Robert Schneider's The Open Hand Cookbook ( LJ 11/15/89), the San Francisco Symphony's benefit cookbook offers a tantalizing collection of menus from some of California's most talented chefs. The roster of Bay Area contributors includes Jeremiah Tower, Alice Waters, Barbara Tropp, Ken Hom, and many other stars; many of the recipes are unmistakably ""California,"" but they do in fact represent a wide range of styles, and they've been well edited for the home cook. Recommended.Copyright 1991 Reed Business Information, Inc."
"A Day in the Life of Italy: Photographed by 100 of the World's Leading Photojournalists on One Day, April 27, 1990 (Day in the Life Photography Series)","Tenth in the Day in the Life series, this photographic impression of il bel paese and its people comprises some 200 shots taken by 100 international photographers, spread throughout the country, on April 27, 1990. From pictures of fashion models primping in Milan to glassblowers working on the island of Murano, from interiors of St. Peter's in Rome to gypsies gathered around a campfire in Sardinia, the photos reveal Italy's varied lifestyles--urban and rural, moneyed and not, up-to-date and ageless. Wisely focussing, for the most part, on people, the shots, arranged one or two to a page, are accompanied by brief captions and a locating map, and the photographer's credit. Affectionate and lively, the pictures generally eschew sensationalistic angles and perspectives for direct, upbeat views of a nation.Copyright 1990 Reed Business Information, Inc."
The Life of My Choice,"Perhaps the last of the great romantic gentleman-explorers, Thesiger, author of Arabian Sands and The Marsh Arabs, here looks back on an extraordinary life. He was born in Abyssinia (Ethiopia) to British diplomatic parents who were friends of Emperor Haile Selassie. Thesiger remembers Addis Ababa, the capital, as a village with grass huts, no roads and colorful ceremonies. He attended Eton and Oxford, then returned to Africa for the first of many journeys, exploring the Awash River (home to the dreaded Danakil, whose warriors killed randomly to prove their manhood and collected their victims' genitals for trophies). As a district officer in the Sudan Political Service, Thesiger had further opportunities to travel in desert lands and meet nomadic tribes. During World War II, he served with Orde Wingate's troops, liberating Abyssinia from the Italians; later, he fought behind the lines in the Western Desert. In addition to superb adventure, Thesiger gives a fine portrait of the waning days of the British Empire in the Sudan and of the last revolution in Ethiopia. Photos.Copyright 1988 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
The Wall: Images and Offerings from the Vietnam Veterans Memorial,"This volume, to be published on the fifth anniversary of the dedication of the national shrine, includes photographs by freelance photographer Lopes and 16 other photojournalists, and excerpts of letters placed at the wailing wall by families, friends and war buddies of the dead and missing whose names are engraved there""the mystery of death writ in stone 58,132 times."" This American family album is deeply moving in its simplicity: ""Damn you, brotherwhy didn't you come back? . . . I still love you, and I'd love you if you came back in one piece, or your arms or legs or mind gone."" Among the 75 poignant color and black-and-white pictures photographed with respect, a child is lifted by a veteran to plant a kiss on a name; flowers, teddy bears, flags and uniforms grace the polished black granite. In his introduction, Vietnam veteran and freelance writer Norman discusses the controversy over the Wall's design and mourns a friend who substituted for him on patrol: ""He may have died for his country or for his God or for nothing at all. For a long time, I thought he died for me."" 150,000 first printing; BOMC featured selection.Copyright 1987 Reed Business Information, Inc."
A Day in the Life of Canada,"Like the similar books about Australia, Hawaii, and Japan, each of these offers multiple photographic impressions recorded on a single day. Canada, for coverage of so vast a territory, engaged 100 international photographers (to Israelis ' mostly native 55), to produce 100,000 images (to Israelis ' 40,000), from which its several hundred memorable black-and-white and color illustrations were chosen. The photos juxtapose the industrial to the rural. A lively essay recounts experiences organizing the project and photographing on the actual day (June 8, 1984). The photographers get credit next to their pictures; a map shows where each worked that day; and a lengthy section gives their respective backgrounds, illustrated with past work. Israelis seems earnest, even somber, in comparison. With more than 300 equally fine images, it plays down the individual artists, presenting only a list of credits at the end. The introduction discusses not so much this project as the past and present social and political developments in this young nation, placing the images firmly in context. And indeed, throughout the coverage of agriculture, sheep, beaches, and apartment houses are the ubiquitous soldiers with guns. The heat and aridity are everywhere evident on this day (May 10, 1984) in the ``green'' month, before things are parched to brown. Both books use a chronological arrangement and tell when, to the hour, the pictures were taken, but Canada , being so large, offers maps on each page to show the geographical location of particular images. Both recommended for their candid presentation of ordinary daily life. Kathleen Collins, Library of CongressCopyright 1985 Reed Business Information, Inc."
"Birds of Britain and Europe with North Africa and the Middle East: Over 3,000 Colour Illustrations (Collins Pocket Guide)","Brilliantly organised guide ... beautiful, apparently infallible, so comprehensive and above all easy to use. The Sunday Times  Superbly handy and comprehensive guide. The Observer"
A Day in the Life of Ireland,"On one day in May 1991 more than 75 distinguished photographers undertook to capture on film the many sides of Ireland and its people. As with previous Day in the Life explorations of other countries, the photographs provide a stunning panorama of everyday life in a variety of settings, from pastoral to urban, from working-class neighborhoods to country estates. Celebrating the land and its citizens, these 200 mainly color photographs are accompanied by maps indicating the location of each and by concise captions. Subjects include a Benedictine nun on a monastery farm, a man soaking in his bath at a spa, a covey of ""punk rockers"" in a Dublin neighborhood, the bishop of Cork putting ""a little body Irish"" on a road bowling match. A feast for the eyes is the result of an impressively coordinated project that, though ambitious, makes no claim as a definitive record of a complex country. 90,000 first printing; major ad/promo; first serial to Islands magazine.Copyright 1991 Reed Business Information, Inc."
Harvey Penick's Little Red Golf Book: Lessons and Teachings from a Lifetime in Golf,"Before titanium drivers, before oversized heads and bubble shafts, before electronic systems to tell you how far you are from the pin, golf was much the same game it is today. The lessons Harvey Penick taught in the pre-gadget days  still stand. The golf swing is basically the same, and Penick could teach it better than anybody. For most of his life, he never intended to publish hisLittle Red Book, a notebook of golf wisdom and anecdotes that he  compiled with the idea that he'd pass it on to his son. But, for the sake of history, it's a good thing that he changed his mind. Contained in its 175 pages is just about all you need to know about golf from a technical standpoint, along with Penick's priceless memories of working with famous pros, teaching absolute nobodies to get the ball in the air, and finding a horde of bat guano and hauling it across town in a pickup truck to fertilize his golf course. This book makes you feel good about playing golf, that you're part of something steeped in ritual and mystery and tradition, and that the game was played perfectly well before perimeter-weighted, graphite-shafted irons came along.--This text refers to an out of print or unavailable edition of this title."
City of Djinns: A Year in Delhi,"Delhi has a richly layered past, and Dalrymple (In Xanadu, McKay, 1990) deftly peels away each layer to reveal how the city came to be what it is today. Djinns are spirits said to be seen only after prolonged fasting and prayer; they too are integral to understanding the city. The author, a young Scot carrying on the fine British tradition of travel writing, has a knack for meeting fascinating people and capturing their most revealing remarks. He introduces us to dervishes, eunuchs, partridge fighting, weddings, and expatriates. His wife contributes sketches that nicely complement his text. Considering the importance of Delhi, the capital of the world's second most populous nation, this book deserves to be in most public and academic libraries.Harold M. Otness, Southern Oregon State Coll. Lib., AshlandCopyright 1994 Reed Business Information, Inc."
"Italy, The Beautiful Cookbook: Authentic Recipes from the Regions of Italy","Lorenza de Medici has published more than 30 cookbooks. She has appeared in a 13-part series on Italian cooking for public television and conducts a cooking school at Badia a Coltibuono, an 11th-century estate and winery near the Chianti region of Tuscany. She divides her time between Milan and Badia a Coltibuono."
The Black Moon,"""From the incomparable Winston Graham...who has everything anyone else has, then a whole lot more.""--This text refers to an out of print or unavailable edition of this title."
The Shadow of the Lynx,"""For a good escapist read Victoria Holt never disappoints."" Netta Martin, Annabel  ""The book moves at a cracking pace, and is highly readable. A must for Holt fans."" Birmingham Evening Mail  ""It is a robust story, full of violent emotions, love and hatred."" Grimsby Evening Telegraph  ""A novel of absorbing interest."" Aberdeen Press and Journal  ""A story of love, hatred and high drama that will appeal to all Miss Holt's fans."" Coventry Evening Telegraph--This text refers to thePaperbackedition."
Harlequin,"Morris West, an Australian by birth, has lived in Italy, Austria, England, and the east and west coasts of the United States. He has written 26 novels, as well as screenplays, radio dramas, and works for the stage. His novels have been translated into 27 languages and have sold more than 60 million copies.He was awarded the National Brotherhood Award by the National Council of Christians and Jews, the James Tait Black Memorial Prize, and the Royal Society of Literature Heinemann Award. His novel,The Devil's Advocate,was nominated for the National Book Award. Among a long list of honors, West has been awarded the Order of Australia, and doctorates in literature and letters from the universities of Santa Clara and New York and from Australian National University.--This text refers to an out of print or unavailable edition of this title."
The Loving Cup (The Poldark novels),"""From the incomparable Winston Graham...who has everything anyone else has, then a whole lot more.""--This text refers to an out of print or unavailable edition of this title."
Balsamic Vinegar Cookbook,"An estimated 1.75 million liters of commercial balsamic vinegar  and 1,760 liters of traditional balsamic vinegar are sold annually.  Noted for its rich color, intense fruity aroma and exquisite  sweet-and-sour flavor, it has become America's most coveted condiment.  It is now served in the trendiest restaurants and is frequently  featured in gourmet food magazines.For gourmets who want to learn  more about this uncommon elixir and use it to add a touch of flavor to  their own home-cooked meals comesThe Balsamic Vinegar Cookbook.   Featuring more than 40 tantalizing recipes that make the most of  balsamic vinegar&#39;s assertive, complex flavor, it offers dishes such  as Minestrone Modena-Style, Maple-glazed Balsamic Carrots, Salmon with  Gingered Balsamic Vinegar and Strawberry Granita. An engaging history  of balsamic vinegar combined with a fascinating look at how it is  produced round out this tribute, which also defines terms, clears up  misconceptions and provides a list of mail-order sources to ensure that  readers have access to the best balsamic vinegar possible."
The Mauritius Command,"Ashore without a command--and on half-pay to boot--Jack Aubrey's prayers are answered when Stephen Maturin shows up with a secret mission for him. The two men have been ordered to the Cape of Good Hope. There they hope to dislodge the French garrisons on the islands of Mauritius and La Reunion. Alas, two of their own colleagues--a dilettante and a martinet--prove to be nearly as great an obstacle as the French themselves.--This text refers to an out of print or unavailable edition of this title."
"Scones, Muffins, and Tea Cakes: Breakfast Breads and Teatime Spreads","A beautifully photographed and affordably priced collection of  more than 54 delicious recipes for scones, muffins, tea cakes,  biscuits, tea-breads, and sweet and savory spreads for breakfast,  brunch, tea-time, and snack-time."
"Flashman and the Redskins: From the Flashman Papers, 1849-50 and 1875-76","'If ever there was a time when I felt that watcher-of-the-skies-when-a-new-planet stuff, it was when I read the first Flashman' PG Wodehouse  'Mr Fraser is a skilful and meticulous writer, twice as good as Buchan and twenty times better than Fleming' Auberon Waugh, Evening Standard--This text refers to an out of print or unavailable edition of this title."
Mermaids: Nymphs of the Sea,"Mermaids embody all that is beautiful, wondrous and cruel about  the sea, and in doing so have inspired adoration, fear and curiosity  since antiquity. As symbols of fertility, they are present in mythology  worldwide, from the creation myths of Tibet, China, Korea and India in  the East to the classical myth of the birth of Venus in the West. They  have long been the subject of popular sea ballads and chanties, and  have inspired works of music, literature and art by many a brilliant  soul, including Franz Joseph Haydn, Oscar Wilde, T.S. Eliot and Paul  Gaugin. A subject of feminist history and women's studies, mermaids  have been represented in popular culture in many forms: advertising,  music videos and successful Hollywood films.This lavish gift book,  replete with many special features, including vellum pages, metallic  ink, an enchanting gatefold, a fortune-telling mermaid and a mermaid  tattoo, is a tactile, enticing trip under the sea. Author Theodore  Gachot discusses the archetypal appeal and multifaceted symbolism of  the mermaid -- as goddess, heroine, fertility symbol and ocean spirit  -- throughout time and across cultures. A range of stunning artwork and  excerpts from literature enhance every alluring page, while a  comprehensive sources section enables readers to locate mermaid art and  decorative accessories."
The Best of Clay Pot Cooking,"This wonderful series is the easiest way to sample some of the  world's finest cuisines from the comfort of your own kitchen.  Small in  size, yet large in recipe selection, each volume offers a delicious  range of dishes--from the simple to the imaginative."
Circus,Great reading' Sunday Telegraph 'An action-packed story... finger-biting suspense' BBC 'A magnificent storyteller' Sunday Mirror 'The most successful British novelist of his time' Jack Higgins--This text refers to an out of print or unavailable edition of this title.
The Golden Gate,'Startlingly good...tense...ingenious' Sunday Express 'Alistair MacLean is a magnificent storyteller' Sunday Mirror--This text refers to an out of print or unavailable edition of this title.
Miss Marple's Final Cases,"'When it all becomes clear as day, the reader can only say, ""Now why didn't I think of that?"" But he never does. Miss Christie at her best.' Springfield Republican"
The Last Frontier,"'Breathless, bloody and detailed.' Daily Telegraph 'Swift-moving, with a tremendous climactic scene on the snow-swept roof of a trans-Hungarian express.' Glasgow Herald--This text refers to an out of print or unavailable edition of this title."
Asia: The Beautiful Cookbook,Each title in this award-winning series offers an exquisite  region-by-region taste tour filled with culinary specialties and  surprises.  Included in each large-format volume are gorgeous food and  landscape photographs.
Problem at Pollensa Bay,"Dame Agatha Christie's prolific output of novels, short stories, and plays have sold more than 400 million copies and have been translated into 103 languages. Only the Bible and works by Shakespeare have outdistanced her. Problems at Pollensa Bay & Other Stories provides a delightful addition to this vast body of writing by ""the mistress of mystery."" Though these eight stories are not new, several are less well known, and this audiobook represents an exciting renewal of one of the world's most popular authors. ""The Harlequin Tea Set,"" thought to be Dame Agatha's last short story, is a tale of mistaken identity and features Mr. Saterthwaite and Harley Quin, who also appear together in ""The Love Detectives,"" a little-known story about a messy love triangle. Mr. Parker Pyne, Christie's goverment statistician turned detective, is called upon to save a love-struck young man in the title story. Also included is a mystery involving the eccentric and slightly pompous Hercule Poirot. The audiobook is narrated by Jonathan Cecil, whose superb vocal adaptations greatly enhance Dame Agatha's work. This is an excellent production, highly entertaining, and a most worthwhile purchase for any library.?Gretchen Browne, Rockville Centre P.L.,Copyright 1995 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title."
Thailand: The Beautiful Cookbook,"Panurat Poladitmontri, chef-owner of the Lemon Grass Grill Restaurant in Seattle, is proud of his Thai heritage. Recognized as one of the leading Thai chefs in America, he has authored cookbooks, appears frequently in the media, and travels internationally to teach Thai cuisine. Judy Lew, considered the Northwest's leading expert on pacific Rim Cuisine, is the author of many cookbooks on Asian cuisine, includingEnjoy Chinese Cuisine; Flavors of Chineses Cooking; Dim Sum Appetizers and Light MealsShe is the Director of the Uwajimaya Cooking School."
The Best of Mexico,"This wonderful series is the easiest way to sample some of the  world's finest cuisines from the comfort of your own kitchen.  Small in  size, yet large in recipe selection, each volume offers a delicious  range of dishes--from the simple to the imaginative."
Potatoes: A Country Garden Cookbook,"Waldrone ( Cold Spaghetti at Midnight ) here finds redeeming value in a humble thing, traipsing with the potato through culinary Mexico, France, Italy, Hungary, the Middle East and various quarters of North America. As glimpsed through the fine nostalgic mist of Jones's camera, the root swells a Mediterranean fish stew; stuffs golden fowl or green chilies; or lies au naturel , pending baking or roasting. Among the most appealing recipes are the simplest: in roasted balsamic potatoes and onions, recommended as an accompaniment to red meats, the contenders are oven-roasted first in olive oil and then in seasoned balsamic vinegar; in rosemary potato skewers, potato chunks are boiled, dredged in herbs and spices, and grilled on charcoal. But if the potato lends itself to these visceral pleasures, it can also sneak into upper-crust tarts without suffering. (And even into hummus--where, one suspects, it may languish.) Waldron, trained at La Varenne, offers appetizers, side dishes and main courses in her brief book, a new entry in Collins's attractive Country Garden Cookbook series, and even offers advice to the amateur grower--but omits desserts, where potatoes can give depth and moist substance, if not pungence, to tortes. BOMC selection.Copyright 1993 Reed Business Information, Inc."
Apples: A Country Garden Cookbook,"Beautifully designed and exquisitely photographed, this unique  series showcases sensational recipes that exhibit the wonderful  versatility of fruits and vegetables, fresh from the garden or  greengrocer's basket."
Tomatoes: A Country Garden Cookbook,"Beautifully designed and exquisitely photographed, this unique  series showcases sensational recipes that exhibit the wonderful  versatility of fruits and vegetables, fresh from the garden or  greengrocer's basket."
Passenger to Frankfurt,'Marvellously entertaining' OBSERVER 'It is not an impossible story - it is only a fantastic one.' AGATHA CHRISTIE
Roy Rogers: King of the Cowboys,"Some things you just don't outgrow. Take Roy Rogers. Yes, the idea of singing cowboys is about as silly as fried Spam sandwiches, but if you were 10 once and watched Roy, Dale, and Trigger cavort on the big screen (or, later, on television), there's probably still a part of you that can't hear ""Happy Trails to You"" without feeling a wee bit wistful. You'll feel more than that after browsing through this nostalgia-soaked photo-biography. Combining wonderful vintage photographs with a brief autobiographical narrative from Roy himself, the book chronicles the storybook life of one Leonard Slye, a Depression-era teenager when his family left their Ohio farm for a dust-bowl journey to California. Only a few short years later, Leonard had become Roy Rogers, ""King of the Cowboys,"" and was launched on a career that would encompass 81 movies, a TV series, and hundreds of radio performances and recordings. The success of Roy Rogers says a lot about the U.S. during the Depression and throughout World War II, but it says even more about the wide eyes of kids everywhere at anytime. It's all here in this sparkling piece of Americana.Bill Ott"
Berries: A Country Garden Cookbook,"Beautifully designed and exquisitely photographed, this unique  series showcases sensational recipes that exhibit the wonderful  versatility of fruits and vegetables, fresh from the garden or  greengrocer's basket."
The Best of India: A Cookbook,"This wonderful series is the easiest way to sample some of the  world's finest cuisines from the comfort of your own kitchen.  Small in  size, yet large in recipe selection, each volume offers a delicious  range of dishes--from the simple to the imaginative."
Way Beyond Therapy (Peanuts at Work and Play),"Charles M. Schulz, the most popular cartoonist in history, published the comic strip, Peanuts, in 2,600 newspapers worldwide and won several prestigious awards, including the Congressional Medal of Honor. Mr. Schulz died February 12, 2000, the night before his farewell Peanuts comic strip was published."
The Best of Italy,"This wonderful series is the easiest way to sample some of the  world's finest cuisines from the comfort of your own kitchen.  Small in  size, yet large in recipe selection, each volume offers a delicious  range of dishes--from the simple to the imaginative."
Southwest: The Beautiful Cookbook,"Fenzl, food editor of Southwest Passages , who also runs the Les Gourmettes Cooking School in Phoenix, Ariz., and Kolpas ( Pasta Menus ) add a new regional volume to the ""Beautiful"" series. Like the forerunners in the series, this one is scaled oversize to accommodate not only color photographs of avocado pasta and tomatillo soup, but also of the local landscapes, such as a Native American powwow and New Mexico's San Juan mountains. As such, Southwest can be read as a gastronomic travel book, filled with escapist textures and tastes. The book is organized by locale (e.g., the Rio Grande Basin gets one chapter) and by genre (desserts and beverages; soups, stews and chilis). It's both picturesque and practical: Kolpas sets the scene well for upscale-indigenous meals with his surveys of Southwest history and habits, while Fenzl offers practical and appealing recipes (especially for salsas and the like, and for appetizers). So while the book looks glamorous, it is also useful.Copyright 1994 Reed Business Information, Inc."
Pears: A Country Garden Cookbook,"Beautifully designed and exquisitely photographed, this unique  series showcases sensational recipes that exhibit the wonderful  versatility of fruits and vegetables, fresh from the garden or  greengrocer's basket."
Coffee: Delectable Seasons (Delectables for all seasons),"From the paintbrush and pen of Maryjo Koch, this collection of  detailed sketches, whimsical observations, and lore sums up everything  you ever wanted to know about the art of brewing and drinking coffee."
Latin for All Occasions,"From cocktail party chitchat, to bumper stickers, to personal ads--everything you'll ever need to say in perfect Latin! A backlistius bestsellerus.--This text refers to an alternateHardcoveredition."
Tuscany: The Beautiful Cookbook,"Illustrated with a fantastic array of culinary and scenic images, this latest entry in HarperCollins's ""beautiful cookbook"" series will find a place both on the coffee table and in the kitchen. Chef and cooking instructor De'Medici ( Italy the Beautiful Cookbook ) here focuses on the relatively small region of Tuscany, where a splendid--and vast--tradition in cookery has flourished for centuries, based, she writes, on a simple ""love of wine, freshly pressed olives and bread."" Well organized by menu course, the cuisine represented here is rich in fragrant soups fortified with crusty country breads and polentas made with chestnut or garbanzo flours. Some of the most interesting recipes include fresh tuna with peas, stuffed zucchini flowers and a squid and beans dish. But, due to the work of Sydney-based Johnson and British photographer Freeman, looking is almost as good as eating. 100,000 first printing; author tour; BOMC selection.Copyright 1992 Reed Business Information, Inc."
Onions: A Country Garden Cookbook (Country Garden Cookbooks),"Beautifully designed and exquisitely photographed, this unique  series showcases sensational recipes that exhibit the wonderful  versatility of fruits and vegetables, fresh from the garden or  greengrocer's basket."
